Side,PR
ARI_Off,1.2629089399985542
ATL_Off,-0.0436892909491402
BAL_Off,2.1283314158821347
BUF_Off,3.3713422177758865
CAR_Off,-1.4748964518437973
CHI_Off,-2.3491701065977626
CIN_Off,-1.8325491532015592
CLE_Off,1.255960947808533
DAL_Off,1.4417633408455992
DEN_Off,-1.6774940890554966
DET_Off,-3.279274160529932
GB_Off,0.2350493198091704
HOU_Off,-3.913846211269182
IND_Off,1.824361197641343
JAX_Off,-2.0082230150209863
KC_Off,5.354772212351435
LAC_Off,0.4290963690974623
LAR_Off,1.4691967060519393
LVR_Off,0.0874043371710544
MIA_Off,-0.7720537959326417
MIN_Off,0.058604627348856
NE_Off,-0.9484804508749108
NO_Off,1.0523914945847666
NYG_Off,-1.9461340482236595
NYJ_Off,-3.261433643515608
PHI_Off,-1.920605887148631
PIT_Off,-0.1465874152866992
SEA_Off,1.118272283252525
SF_Off,0.8288247949769141
TB_Off,4.250772627340908
TEN_Off,1.249280028810184
WAS_Off,-1.843895141297256
ARI_Def,-0.3158927309611781
ATL_Def,-1.6425887035697857
BAL_Def,2.240162640464762
BUF_Def,1.1167722215482303
CAR_Def,-0.9232502295438104
CHI_Def,0.1183992645365852
CIN_Def,-1.6445770556030666
CLE_Def,1.9092108231848088
DAL_Def,-0.5183678435337671
DEN_Def,1.160501328791555
DET_Def,-2.641813916379716
GB_Def,0.5891514290387557
HOU_Def,-3.48187071461407
IND_Def,0.3875370911218593
JAX_Def,-1.7215848199531696
KC_Def,1.3275642571826105
LAC_Def,-0.0287911495634283
LAR_Def,2.260434717631896
LVR_Def,-1.70877683228347
MIA_Def,0.4663077554587646
MIN_Def,0.2030093159435162
NE_Def,0.6698414179768011
NO_Def,0.2467708518053921
NYG_Def,-0.3271481691109554
NYJ_Def,-0.9290740762511884
PHI_Def,-1.4219077064486287
PIT_Def,0.8882348807244935
SEA_Def,0.4857751757848463
SF_Def,2.660489393858445
TB_Def,1.2141251988472552
TEN_Def,-0.6157434824712125
WAS_Def,-0.0229003336131357
HFA,2.11
mean_score,23.82
