schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium_neutral,pr_spread,pr_total,pr_hfa,in_div,in_conf
9/8/2016,2016,1,False,DEN,21.0,20.0,CAR,CAR,-3.0,40.5,False,,,,False,False
9/11/2016,2016,1,False,ARI,21.0,23.0,NE,ARI,8.5,44.0,False,,,,False,False
9/11/2016,2016,1,False,ATL,24.0,31.0,TB,ATL,2.5,47.0,False,,,,True,True
9/11/2016,2016,1,False,BAL,13.0,7.0,BUF,BAL,3.0,44.5,False,,,,False,True
9/11/2016,2016,1,False,DAL,19.0,20.0,NYG,NYG,-1.0,47.5,False,,,,True,True
9/11/2016,2016,1,False,HOU,23.0,14.0,CHI,HOU,5.5,42.5,False,,,,False,False
9/11/2016,2016,1,False,IND,35.0,39.0,DET,IND,2.5,51.5,False,,,,False,False
9/11/2016,2016,1,False,JAX,23.0,27.0,GB,GB,-3.5,47.5,False,,,,False,False
9/11/2016,2016,1,False,KC,33.0,27.0,LAC,KC,6.5,46.0,False,,,,True,True
9/11/2016,2016,1,False,NO,34.0,35.0,LVR,NO,3.0,50.5,False,,,,False,False
9/11/2016,2016,1,False,NYJ,22.0,23.0,CIN,CIN,-1.0,42.0,False,,,,False,True
9/11/2016,2016,1,False,PHI,29.0,10.0,CLE,PHI,3.5,41.0,False,,,,False,False
9/11/2016,2016,1,False,SEA,12.0,10.0,MIA,SEA,10.5,44.0,False,,,,False,False
9/11/2016,2016,1,False,TEN,16.0,25.0,MIN,MIN,-2.5,40.0,False,,,,False,False
9/12/2016,2016,1,False,SF,28.0,0.0,LAR,LAR,-2.5,43.5,False,,,,True,True
9/12/2016,2016,1,False,WAS,16.0,38.0,PIT,PIT,-2.5,49.0,False,,,,False,False
9/15/2016,2016,2,False,BUF,31.0,37.0,NYJ,PICK,0.0,40.5,False,,,,True,True
9/18/2016,2016,2,False,ARI,40.0,7.0,TB,ARI,7.0,49.5,False,,,,False,True
9/18/2016,2016,2,False,CAR,46.0,27.0,SF,CAR,12.5,44.0,False,,,,False,True
9/18/2016,2016,2,False,CLE,20.0,25.0,BAL,BAL,-4.5,42.0,False,,,,True,True
9/18/2016,2016,2,False,DEN,34.0,20.0,IND,DEN,6.0,47.0,False,,,,False,True
9/18/2016,2016,2,False,DET,15.0,16.0,TEN,DET,6.0,48.0,False,,,,False,False
9/18/2016,2016,2,False,HOU,19.0,12.0,KC,HOU,1.0,42.0,False,,,,False,True
9/18/2016,2016,2,False,LAR,9.0,3.0,SEA,SEA,-5.5,38.0,False,,,,True,True
9/18/2016,2016,2,False,MIN,17.0,14.0,GB,GB,-2.0,43.0,False,,,,True,True
9/18/2016,2016,2,False,NE,31.0,24.0,MIA,NE,5.5,42.0,False,,,,True,True
9/18/2016,2016,2,False,NYG,16.0,13.0,NO,NYG,4.0,54.5,False,,,,False,True
9/18/2016,2016,2,False,LVR,28.0,35.0,ATL,LVR,4.0,48.0,False,,,,False,False
9/18/2016,2016,2,False,PIT,24.0,16.0,CIN,PIT,3.0,48.0,False,,,,True,True
9/18/2016,2016,2,False,LAC,38.0,14.0,JAX,LAC,3.0,47.5,False,,,,False,True
9/18/2016,2016,2,False,WAS,23.0,27.0,DAL,WAS,3.0,47.0,False,,,,True,True
9/19/2016,2016,2,False,CHI,14.0,29.0,PHI,CHI,3.0,43.0,False,,,,False,True
9/22/2016,2016,3,False,NE,27.0,0.0,HOU,NE,1.0,38.5,False,,,,False,True
9/25/2016,2016,3,False,BUF,33.0,18.0,ARI,ARI,-5.0,48.0,False,,,,False,False
9/25/2016,2016,3,False,CAR,10.0,22.0,MIN,CAR,6.5,42.5,False,,,,False,True
9/25/2016,2016,3,False,CIN,17.0,29.0,DEN,CIN,3.5,41.5,False,,,,False,True
9/25/2016,2016,3,False,DAL,31.0,17.0,CHI,DAL,6.5,45.0,False,,,,False,True
9/25/2016,2016,3,False,GB,34.0,27.0,DET,GB,6.5,47.5,False,,,,True,True
9/25/2016,2016,3,False,IND,26.0,22.0,LAC,IND,1.5,51.5,False,,,,False,True
9/25/2016,2016,3,False,JAX,17.0,19.0,BAL,BAL,-2.0,45.0,False,,,,False,True
9/25/2016,2016,3,False,KC,24.0,3.0,NYJ,KC,3.0,44.5,False,,,,False,True
9/25/2016,2016,3,False,MIA,30.0,24.0,CLE,MIA,10.0,42.5,False,,,,False,True
9/25/2016,2016,3,False,NYG,27.0,29.0,WAS,NYG,3.5,47.0,False,,,,True,True
9/25/2016,2016,3,False,PHI,34.0,3.0,PIT,PIT,-4.0,46.5,False,,,,False,False
9/25/2016,2016,3,False,SEA,37.0,18.0,SF,SEA,10.5,41.5,False,,,,True,True
