schedule_date,schedule_season,schedule_week,team_home,score_home,score_away,team_away,pr_spread,pr_total,pr_hfa,in_div,in_conf
10/31/2021,2021,8,BUF,,,MIA,,,,True,True
10/31/2021,2021,8,CHI,,,SF,,,,False,True
10/31/2021,2021,8,CLE,,,PIT,,,,True,True
10/31/2021,2021,8,IND,,,TEN,,,,True,True
10/31/2021,2021,8,DET,,,PHI,,,,False,True
10/31/2021,2021,8,HOU,,,LAR,,,,False,False
10/31/2021,2021,8,NYJ,,,CIN,,,,False,True
10/31/2021,2021,8,LAC,,,NE,,,,False,True
10/31/2021,2021,8,SEA,,,JAX,,,,False,False
10/31/2021,2021,8,DEN,,,WAS,,,,False,False
10/31/2021,2021,8,NO,,,TB,,,,True,True
10/31/2021,2021,8,MIN,,,DAL,,,,False,True
11/1/2021,2021,8,KC,,,NYG,,,,False,False
11/4/2021,2021,9,IND,,,NYJ,,,,False,True
11/7/2021,2021,9,CAR,,,NE,,,,False,False
11/7/2021,2021,9,CIN,,,CLE,,,,True,True
11/7/2021,2021,9,DAL,,,DEN,,,,False,False
11/7/2021,2021,9,JAX,,,BUF,,,,False,True
11/7/2021,2021,9,MIA,,,HOU,,,,False,True
11/7/2021,2021,9,NO,,,ATL,,,,True,True
11/7/2021,2021,9,NYG,,,LVR,,,,False,False
11/7/2021,2021,9,BAL,,,MIN,,,,False,False
11/7/2021,2021,9,PHI,,,LAC,,,,False,False
11/7/2021,2021,9,KC,,,GB,,,,False,False
11/7/2021,2021,9,SF,,,ARI,,,,True,True
11/7/2021,2021,9,LAR,,,TEN,,,,False,False
11/8/2021,2021,9,PIT,,,CHI,,,,False,False
11/11/2021,2021,10,MIA,,,BAL,,,,False,True
11/14/2021,2021,10,IND,,,JAX,,,,True,True
11/14/2021,2021,10,DAL,,,ATL,,,,False,True
11/14/2021,2021,10,NE,,,CLE,,,,False,True
11/14/2021,2021,10,NYJ,,,BUF,,,,True,True
11/14/2021,2021,10,TEN,,,NO,,,,False,False
11/14/2021,2021,10,PIT,,,DET,,,,False,False
11/14/2021,2021,10,WAS,,,TB,,,,False,True
11/14/2021,2021,10,ARI,,,CAR,,,,False,True
11/14/2021,2021,10,LAC,,,MIN,,,,False,False
11/14/2021,2021,10,DEN,,,PHI,,,,False,False
11/14/2021,2021,10,GB,,,SEA,,,,False,True
11/14/2021,2021,10,LVR,,,KC,,,,True,True
11/15/2021,2021,10,SF,,,LAR,,,,True,True
11/18/2021,2021,11,ATL,,,NE,,,,False,False
11/21/2021,2021,11,BUF,,,IND,,,,False,True
11/21/2021,2021,11,CAR,,,WAS,,,,False,True
11/21/2021,2021,11,CHI,,,BAL,,,,False,False
11/21/2021,2021,11,CLE,,,DET,,,,False,False
11/21/2021,2021,11,JAX,,,SF,,,,False,False
11/21/2021,2021,11,MIN,,,GB,,,,True,True
11/21/2021,2021,11,NYJ,,,MIA,,,,True,True
11/21/2021,2021,11,TEN,,,HOU,,,,True,True
11/21/2021,2021,11,PHI,,,NO,,,,False,True
11/21/2021,2021,11,LVR,,,CIN,,,,False,True
11/21/2021,2021,11,KC,,,DAL,,,,False,False
11/21/2021,2021,11,SEA,,,ARI,,,,True,True
11/21/2021,2021,11,LAC,,,PIT,,,,False,True
11/22/2021,2021,11,TB,,,NYG,,,,False,True
11/25/2021,2021,12,DET,,,CHI,,,,True,True
11/25/2021,2021,12,DAL,,,LVR,,,,False,False
11/25/2021,2021,12,NO,,,BUF,,,,False,False
11/28/2021,2021,12,CIN,,,PIT,,,,True,True
11/28/2021,2021,12,IND,,,TB,,,,False,False
11/28/2021,2021,12,HOU,,,NYJ,,,,False,True
11/28/2021,2021,12,JAX,,,ATL,,,,False,False
11/28/2021,2021,12,MIA,,,CAR,,,,False,False
11/28/2021,2021,12,NE,,,TEN,,,,False,True
11/28/2021,2021,12,NYG,,,PHI,,,,True,True
11/28/2021,2021,12,DEN,,,LAC,,,,True,True
11/28/2021,2021,12,GB,,,LAR,,,,False,True
11/28/2021,2021,12,SF,,,MIN,,,,False,True
11/28/2021,2021,12,BAL,,,CLE,,,,True,True
11/29/2021,2021,12,WAS,,,SEA,,,,False,True
12/2/2021,2021,13,NO,,,DAL,,,,False,True
12/5/2021,2021,13,ATL,,,TB,,,,True,True
12/5/2021,2021,13,CHI,,,ARI,,,,False,True
12/5/2021,2021,13,CIN,,,LAC,,,,False,True
12/5/2021,2021,13,DET,,,MIN,,,,True,True
12/5/2021,2021,13,HOU,,,IND,,,,True,True
12/5/2021,2021,13,KC,,,DEN,,,,True,True
12/5/2021,2021,13,MIA,,,NYG,,,,False,False
12/5/2021,2021,13,NYJ,,,PHI,,,,False,False
12/5/2021,2021,13,LVR,,,WAS,,,,False,False
12/5/2021,2021,13,PIT,,,BAL,,,,True,True
12/5/2021,2021,13,LAR,,,JAX,,,,False,False
12/5/2021,2021,13,SEA,,,SF,,,,True,True
