schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium_neutral,pr_spread,pr_total,pr_hfa,in_div,in_conf
9/6/2018,2018,1,False,PHI,18.0,12.0,ATL,PHI,1.0,44.5,False,,,,False,True
9/9/2018,2018,1,False,ARI,6.0,24.0,WAS,ARI,2.0,43.5,False,,,,False,True
9/9/2018,2018,1,False,BAL,47.0,3.0,BUF,BAL,7.5,39.0,False,,,,False,True
9/9/2018,2018,1,False,CAR,16.0,8.0,DAL,CAR,2.5,42.5,False,,,,False,True
9/9/2018,2018,1,False,CLE,21.0,21.0,PIT,PIT,-3.5,41.0,False,,,,True,True
9/9/2018,2018,1,False,DEN,27.0,24.0,SEA,DEN,3.0,42.5,False,,,,False,False
9/9/2018,2018,1,False,GB,24.0,23.0,CHI,GB,6.5,45.0,False,,,,True,True
9/9/2018,2018,1,False,IND,23.0,34.0,CIN,CIN,-1.0,47.5,False,,,,False,True
9/9/2018,2018,1,False,LAC,28.0,38.0,KC,LAC,3.5,48.0,False,,,,True,True
9/9/2018,2018,1,False,MIA,27.0,20.0,TEN,TEN,-1.0,43.5,False,,,,False,True
9/9/2018,2018,1,False,MIN,24.0,16.0,SF,MIN,6.0,46.5,False,,,,False,True
9/9/2018,2018,1,False,NE,27.0,20.0,HOU,NE,6.0,49.5,False,,,,False,True
9/9/2018,2018,1,False,NO,40.0,48.0,TB,NO,10.0,50.0,False,,,,True,True
9/9/2018,2018,1,False,NYG,15.0,20.0,JAX,JAX,-2.5,43.0,False,,,,False,False
9/10/2018,2018,1,False,DET,17.0,48.0,NYJ,DET,7.0,44.0,False,,,,False,False
9/10/2018,2018,1,False,LVR,13.0,33.0,LAR,LAR,-6.5,47.5,False,,,,False,False
9/13/2018,2018,2,False,CIN,34.0,23.0,BAL,CIN,1.0,43.0,False,,,,True,True
9/16/2018,2018,2,False,ATL,31.0,24.0,CAR,ATL,5.5,44.0,False,,,,True,True
9/16/2018,2018,2,False,BUF,20.0,31.0,LAC,LAC,-7.5,41.5,False,,,,False,True
9/16/2018,2018,2,False,DAL,20.0,13.0,NYG,DAL,3.0,42.0,False,,,,True,True
9/16/2018,2018,2,False,DEN,20.0,19.0,LVR,DEN,5.5,44.0,False,,,,True,True
9/16/2018,2018,2,False,GB,29.0,29.0,MIN,MIN,-2.0,45.0,False,,,,True,True
9/16/2018,2018,2,False,JAX,31.0,20.0,NE,NE,-2.0,44.5,False,,,,False,True
9/16/2018,2018,2,False,LAR,34.0,0.0,ARI,LAR,13.5,43.5,False,,,,True,True
9/16/2018,2018,2,False,NO,21.0,18.0,CLE,NO,10.0,51.0,False,,,,False,False
9/16/2018,2018,2,False,NYJ,12.0,20.0,MIA,NYJ,3.0,43.0,False,,,,True,True
9/16/2018,2018,2,False,PIT,37.0,42.0,KC,PIT,4.5,52.0,False,,,,False,True
9/16/2018,2018,2,False,SF,30.0,27.0,DET,SF,6.0,48.5,False,,,,False,True
9/16/2018,2018,2,False,TB,27.0,21.0,PHI,PHI,-3.0,46.5,False,,,,False,True
9/16/2018,2018,2,False,TEN,20.0,17.0,HOU,HOU,-3.5,41.0,False,,,,True,True
9/16/2018,2018,2,False,WAS,9.0,21.0,IND,WAS,6.0,48.0,False,,,,False,False
9/17/2018,2018,2,False,CHI,24.0,17.0,SEA,CHI,4.5,42.5,False,,,,False,True
9/20/2018,2018,3,False,CLE,21.0,17.0,NYJ,CLE,3.0,41.0,False,,,,False,True
9/23/2018,2018,3,False,ARI,14.0,16.0,CHI,CHI,-5.5,39.0,False,,,,False,True
9/23/2018,2018,3,False,ATL,37.0,43.0,NO,ATL,1.5,54.0,False,,,,True,True
9/23/2018,2018,3,False,BAL,27.0,14.0,DEN,BAL,5.5,46.0,False,,,,False,True
9/23/2018,2018,3,False,CAR,31.0,21.0,CIN,CAR,2.5,44.0,False,,,,False,False
9/23/2018,2018,3,False,DET,26.0,10.0,NE,NE,-7.0,55.0,False,,,,False,False
9/23/2018,2018,3,False,HOU,22.0,27.0,NYG,HOU,6.5,44.0,False,,,,False,False
9/23/2018,2018,3,False,JAX,6.0,9.0,TEN,JAX,10.0,39.0,False,,,,True,True
9/23/2018,2018,3,False,KC,38.0,27.0,SF,KC,5.5,53.0,False,,,,False,False
9/23/2018,2018,3,False,LAR,35.0,23.0,LAC,LAR,7.5,49.0,False,,,,False,False
9/23/2018,2018,3,False,MIA,28.0,20.0,LVR,MIA,3.0,46.0,False,,,,False,True
9/23/2018,2018,3,False,MIN,6.0,27.0,BUF,MIN,16.5,41.0,False,,,,False,False
9/23/2018,2018,3,False,PHI,20.0,16.0,IND,PHI,6.5,45.5,False,,,,False,False
9/23/2018,2018,3,False,SEA,24.0,13.0,DAL,SEA,1.0,40.0,False,,,,False,True
9/23/2018,2018,3,False,WAS,31.0,17.0,GB,GB,-2.5,45.5,False,,,,False,True
9/24/2018,2018,3,False,TB,27.0,30.0,PIT,PIT,-1.0,55.0,False,,,,False,False
9/27/2018,2018,4,False,LAR,38.0,31.0,MIN,LAR,7.5,48.5,False,,,,False,True
9/30/2018,2018,4,False,ARI,17.0,20.0,SEA,SEA,-3.5,40.0,False,,,,True,True
9/30/2018,2018,4,False,ATL,36.0,37.0,CIN,ATL,3.5,52.5,False,,,,False,False
9/30/2018,2018,4,False,CHI,48.0,10.0,TB,CHI,3.0,46.0,False,,,,False,True
9/30/2018,2018,4,False,DAL,26.0,24.0,DET,DAL,2.5,43.5,False,,,,False,True
9/30/2018,2018,4,False,GB,22.0,0.0,BUF,GB,8.5,43.5,False,,,,False,False
9/30/2018,2018,4,False,IND,34.0,37.0,HOU,IND,1.0,48.0,False,,,,True,True
9/30/2018,2018,4,False,JAX,31.0,12.0,NYJ,JAX,7.5,40.5,False,,,,False,True
9/30/2018,2018,4,False,LAC,29.0,27.0,SF,LAC,10.5,46.0,False,,,,False,False
9/30/2018,2018,4,False,NE,38.0,7.0,MIA,NE,6.5,50.5,False,,,,True,True
9/30/2018,2018,4,False,NYG,18.0,33.0,NO,NO,-3.5,51.5,False,,,,False,True
9/30/2018,2018,4,False,LVR,45.0,42.0,CLE,LVR,2.5,44.5,False,,,,False,True
9/30/2018,2018,4,False,PIT,14.0,26.0,BAL,PIT,3.0,51.0,False,,,,True,True
9/30/2018,2018,4,False,TEN,26.0,23.0,PHI,PHI,-3.0,41.5,False,,,,False,False
10/1/2018,2018,4,False,DEN,23.0,27.0,KC,KC,-3.5,53.5,False,,,,True,True
10/4/2018,2018,5,False,NE,38.0,24.0,IND,NE,10.5,49.5,False,,,,False,True
10/7/2018,2018,5,False,BUF,13.0,12.0,TEN,TEN,-6.0,38.5,False,,,,False,True
10/7/2018,2018,5,False,CAR,33.0,31.0,NYG,CAR,7.0,43.5,False,,,,False,True
10/7/2018,2018,5,False,CIN,27.0,17.0,MIA,CIN,6.5,47.5,False,,,,False,True
10/7/2018,2018,5,False,CLE,12.0,9.0,BAL,BAL,-3.0,44.5,False,,,,True,True
10/7/2018,2018,5,False,DET,31.0,23.0,GB,GB,-1.0,50.0,False,,,,True,True
10/7/2018,2018,5,False,HOU,19.0,16.0,DAL,HOU,3.5,45.5,False,,,,False,False
10/7/2018,2018,5,False,KC,30.0,14.0,JAX,KC,3.0,48.0,False,,,,False,True
10/7/2018,2018,5,False,LAC,26.0,10.0,LVR,LAC,5.0,52.0,False,,,,True,True
10/7/2018,2018,5,False,NYJ,34.0,16.0,DEN,NYJ,1.0,43.0,False,,,,False,True
10/7/2018,2018,5,False,PHI,21.0,23.0,MIN,PHI,3.5,48.0,False,,,,False,True
10/7/2018,2018,5,False,PIT,41.0,17.0,ATL,PIT,3.5,57.0,False,,,,False,False
10/7/2018,2018,5,False,SF,18.0,28.0,ARI,SF,3.0,40.5,False,,,,True,True
10/7/2018,2018,5,False,SEA,31.0,33.0,LAR,LAR,-7.5,50.5,False,,,,True,True
10/8/2018,2018,5,False,NO,43.0,19.0,WAS,NO,5.5,51.5,False,,,,False,True
10/11/2018,2018,6,False,NYG,13.0,34.0,PHI,PHI,-1.5,45.0,False,,,,True,True
10/14/2018,2018,6,False,ATL,34.0,29.0,TB,ATL,3.0,57.0,False,,,,True,True
10/14/2018,2018,6,False,CIN,21.0,28.0,PIT,CIN,1.5,49.5,False,,,,True,True
10/14/2018,2018,6,False,CLE,14.0,38.0,LAC,CLE,1.0,47.0,False,,,,False,True
10/14/2018,2018,6,False,DAL,40.0,7.0,JAX,JAX,-3.0,39.0,False,,,,False,False
10/14/2018,2018,6,False,DEN,20.0,23.0,LAR,LAR,-7.0,50.0,False,,,,False,False
10/14/2018,2018,6,False,HOU,20.0,13.0,BUF,HOU,10.5,40.5,False,,,,False,True
10/14/2018,2018,6,False,MIA,31.0,28.0,CHI,CHI,-7.5,40.5,False,,,,False,False
10/14/2018,2018,6,False,MIN,27.0,17.0,ARI,MIN,10.0,43.5,False,,,,False,True
10/14/2018,2018,6,False,NE,43.0,40.0,KC,NE,3.5,59.5,False,,,,False,True
10/14/2018,2018,6,False,NYJ,42.0,34.0,IND,NYJ,2.5,47.5,False,,,,False,True
10/14/2018,2018,6,False,LVR,3.0,27.0,SEA,SEA,-3.0,48.0,True,,,,False,False
10/14/2018,2018,6,False,TEN,0.0,21.0,BAL,BAL,-2.5,43.5,False,,,,False,True
10/14/2018,2018,6,False,WAS,23.0,17.0,CAR,CAR,-1.0,44.5,False,,,,False,True
10/15/2018,2018,6,False,GB,33.0,30.0,SF,GB,9.0,46.5,False,,,,False,True
10/18/2018,2018,7,False,ARI,10.0,45.0,DEN,DEN,-1.0,42.5,False,,,,False,False
10/21/2018,2018,7,False,BAL,23.0,24.0,NO,BAL,2.5,49.0,False,,,,False,False
10/21/2018,2018,7,False,CHI,31.0,38.0,NE,NE,-1.0,48.5,False,,,,False,False
10/21/2018,2018,7,False,IND,37.0,5.0,BUF,IND,7.0,43.5,False,,,,False,True
10/21/2018,2018,7,False,JAX,7.0,20.0,HOU,JAX,3.5,42.5,False,,,,True,True
10/21/2018,2018,7,False,KC,45.0,10.0,CIN,KC,6.5,56.0,False,,,,False,True
10/21/2018,2018,7,False,LAC,20.0,19.0,TEN,LAC,6.5,46.0,True,,,,False,True
10/21/2018,2018,7,False,MIA,21.0,32.0,DET,DET,-3.0,47.0,False,,,,False,False
10/21/2018,2018,7,False,NYJ,17.0,37.0,MIN,MIN,-3.5,45.0,False,,,,False,False
10/21/2018,2018,7,False,PHI,17.0,21.0,CAR,PHI,5.0,45.0,False,,,,False,True
10/21/2018,2018,7,False,SF,10.0,39.0,LAR,LAR,-8.0,52.0,False,,,,True,True
10/21/2018,2018,7,False,TB,26.0,23.0,CLE,TB,3.5,52.5,False,,,,False,False
10/21/2018,2018,7,False,WAS,20.0,17.0,DAL,DAL,-1.0,40.5,False,,,,True,True
10/22/2018,2018,7,False,ATL,23.0,20.0,NYG,ATL,4.0,53.0,False,,,,False,True
10/25/2018,2018,8,False,HOU,42.0,23.0,MIA,HOU,7.5,45.0,False,,,,False,True
10/28/2018,2018,8,False,ARI,18.0,15.0,SF,ARI,2.5,40.0,False,,,,True,True
10/28/2018,2018,8,False,CAR,36.0,21.0,BAL,BAL,-2.5,44.0,False,,,,False,False
10/28/2018,2018,8,False,CHI,24.0,10.0,NYJ,CHI,8.5,42.5,False,,,,False,False
10/28/2018,2018,8,False,CIN,37.0,34.0,TB,CIN,3.5,55.0,False,,,,False,False
10/28/2018,2018,8,False,DET,14.0,28.0,SEA,DET,3.0,48.0,False,,,,False,True
10/28/2018,2018,8,False,JAX,18.0,24.0,PHI,PHI,-3.5,44.0,True,,,,False,False
10/28/2018,2018,8,False,KC,30.0,23.0,DEN,KC,8.5,53.0,False,,,,True,True
10/28/2018,2018,8,False,LAR,29.0,27.0,GB,LAR,7.5,57.0,False,,,,False,True
10/28/2018,2018,8,False,MIN,20.0,30.0,NO,MIN,2.5,53.5,False,,,,False,True
10/28/2018,2018,8,False,NYG,13.0,20.0,WAS,WAS,-1.0,44.0,False,,,,True,True
10/28/2018,2018,8,False,LVR,28.0,42.0,IND,IND,-3.5,51.0,False,,,,False,True
