schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium_neutral,pr_spread,pr_total,pr_hfa,in_div,in_conf
9/9/2021,2021,1,False,TB,,,DAL,,,,,,,,False,True
9/12/2021,2021,1,False,ATL,,,PHI,,,,,,,,False,True
9/12/2021,2021,1,False,BUF,,,PIT,,,,,,,,False,True
9/12/2021,2021,1,False,CAR,,,NYJ,,,,,,,,False,False
9/12/2021,2021,1,False,CIN,,,MIN,,,,,,,,False,False
9/12/2021,2021,1,False,IND,,,SEA,,,,,,,,False,False
9/12/2021,2021,1,False,DET,,,SF,,,,,,,,False,True
9/12/2021,2021,1,False,HOU,,,JAX,,,,,,,,True,True
9/12/2021,2021,1,False,TEN,,,ARI,,,,,,,,False,False
9/12/2021,2021,1,False,WAS,,,LAC,,,,,,,,False,False
9/12/2021,2021,1,False,KC,,,CLE,,,,,,,,False,True
9/12/2021,2021,1,False,NO,,,GB,,,,,,,,False,True
9/12/2021,2021,1,False,NE,,,MIA,,,,,,,,True,True
9/12/2021,2021,1,False,NYG,,,DEN,,,,,,,,False,False
9/12/2021,2021,1,False,LAR,,,CHI,,,,,,,,False,True
9/13/2021,2021,1,False,LVR,,,BAL,,,,,,,,False,True
9/16/2021,2021,2,False,WAS,,,NYG,,,,,,,,True,True
9/19/2021,2021,2,False,CAR,,,NO,,,,,,,,True,True
9/19/2021,2021,2,False,CHI,,,CIN,,,,,,,,False,False
9/19/2021,2021,2,False,CLE,,,HOU,,,,,,,,False,True
9/19/2021,2021,2,False,IND,,,LAR,,,,,,,,False,False
9/19/2021,2021,2,False,JAX,,,DEN,,,,,,,,False,True
9/19/2021,2021,2,False,MIA,,,BUF,,,,,,,,True,True
9/19/2021,2021,2,False,NYJ,,,NE,,,,,,,,True,True
9/19/2021,2021,2,False,PHI,,,SF,,,,,,,,False,True
9/19/2021,2021,2,False,PIT,,,LVR,,,,,,,,False,True
9/19/2021,2021,2,False,ARI,,,MIN,,,,,,,,False,True
9/19/2021,2021,2,False,TB,,,ATL,,,,,,,,True,True
9/19/2021,2021,2,False,LAC,,,DAL,,,,,,,,False,False
9/19/2021,2021,2,False,SEA,,,TEN,,,,,,,,False,False
9/19/2021,2021,2,False,BAL,,,KC,,,,,,,,False,True
9/20/2021,2021,2,False,GB,,,DET,,,,,,,,True,True
9/23/2021,2021,3,False,HOU,,,CAR,,,,,,,,False,False
9/26/2021,2021,3,False,BUF,,,WAS,,,,,,,,False,False
9/26/2021,2021,3,False,CLE,,,CHI,,,,,,,,False,False
9/26/2021,2021,3,False,DET,,,BAL,,,,,,,,False,False
9/26/2021,2021,3,False,JAX,,,ARI,,,,,,,,False,False
9/26/2021,2021,3,False,KC,,,LAC,,,,,,,,True,True
9/26/2021,2021,3,False,NE,,,NO,,,,,,,,False,False
